,company,description,location,posted,title
454,Robert Half,req id 154233 join one world admired companies founded 1948 robert half world first largest specialized staffing firm parent company protiviti global consulting firm offer clients full spectrum specialized staffing consulting solutions 400 locations 20 countries robert half appeared fortune magazine list admired companies every year since 1998 well numerous best place work lists around world corporate employees backbone operations work teams around world employee corporate services locations plays role company success want make difference work environment thrive innovate apply job today job summary robert half seeking marketing data analyst analyze marketing data support closing loop marketing programs attributed revenue monitoring program performance internal external benchmarks role requires background statistics marketing measurement revenue attribution data analysis combined ability explain complex analyzes ways understandable actionable marketing pr program owners core duty professional support marketing analytics manager implementation tracking solutions data collection identify propose ways increase demand generation focusing resources efforts high roi programs fixing terminating poorly performing programs marketing data analyst conducts ad hoc research collects data scheduled reports directed marketing analytics manager sr manager database marketing person experience working google analytics google tag manager tracking reporting platforms including used major business partners inclusive advertising media buying agency social media syndication agency email marketing automation partners etc role requires strong understanding technical aspects website working knowledge javascript role supports marketing analytics manager development automation global marketing pr kpi efforts includes partnership team process owners external business partners capture store marketing pr data one central data warehouse marketing data analysts also conducts research support adoption analytics data collection best practices researches recommends future measurement data analysis platforms use marketing pr contributes competitor industry benchmarking efforts note temporary position specific responsibilities include ad hoc research reporting supports initiatives focused identifying research reporting needs conducting ad hoc research reports setting new automated reports necessary research complex issues respond customers resolutions recommendations supports ad hoc research analysis reports needed basis customer candidate segmentation analysis support marketing automation email lead generation brand advertising team targeting efforts collects analyzes marketing data support closing loop marketing programs attributed revenue monitoring program performance internal external benchmarks collects data support performance overviews major integrated campaigns create holistic overview performance across multiple channels inclusive email web social media pr advertising mix owned earned paid media marketing pr program measurement implementation ensure tracking systems place optimized measure report global performance key marketing pr campaign conduct website audits identify implement additional tracking requirements provides technical support advanced implementation tracking reporting platforms including used major business partners inclusive advertising media buying agency social media syndication agency email marketing automation partners etc works conjunction marketing analytics manager help establish program performance goals develop measurement plans implement best practices configures implements monitors google analytics google tag manger web tracking platforms including cross functional project management vendors portal administrators marketing pr kpi reporting program optimization collects marketing pr data support tracking overall program performance contribute recommendations optimize results focusing resources efforts high roi programs fixing terminating poorly performing programs supports development automation global marketing pr kpi efforts includes partnership team program process owners external business partners capture store marketing pr data one central data warehouse market intelligence research developments improvement marketing pr measurement program optimization includes research competitor demand generation programs competitor performance comparisons conduct research make recommendations support adoption analytics data collection best practices marketing analytics manager support marketing analytics manager research recommendation future measurement data analysis platforms use marketing pr support competitor industry benchmarking efforts job requirements bachelor degree marketing business administration statistics economics majors desired ms office suite including strong ms excel skills business statistics coursework work experience experience google analytics google tag manager preferred 1 years marketing reporting analytics experience experience website tracking platforms required email metrics experience required sql knowledge preferred advanced statistical package experience sas spss preferred business analytics software experience cognos business objects preferred excellent communications skills must able explain complex analytics simple terms must also able clearly articulate strategic direction tactical actions direct reports team marketing pr stakeholders detail oriented strong analytical ability must able clearly work marketing pr program owners determine business needs requirements translate research reporting requirements internal teams external vendors follow us twitter rh_corp_jobs robert half corporate job openings career workplace news robert half international inc equal opportunity employer f disability veteran part robert half corporate facility employment process offer employment contingent upon successful completion background check may apply position online mail robert half committed equal employment employer offering opportunities job seekers including individuals disabilities believe need reasonable accommodation order search job opening apply position please contact us sending email [click email resum ] assistance email please include following specific accommodation requested complete employment application location city state would like apply mail please mail cover letter resume corporate staffing robert half 2613 camino ramon san ramon ca 94583 9128,"San Ramon, CA",Posted 13 days ago,Marketing Data Analyst (Temporary)
455,CEP America,job summary cep medamerica rely upon data science business intelligence team assist decision makers across areas enterprise providing relevant meaningful reliable timely targeted insights analytic bi initiatives insights profound impact organizational strategy population health telehealth revenue cycle employee retention clinical behavior management contract management business development well real time patient care thriving challenges inherent dissecting complex business problems bi analyst role directly influences delivery healthcare impacts millions lives role bi analyst provide analytic support organization analysis structured evaluation business problems bi analyst works close collaboration cep clinical partners operations business development serving liaison data science bi team enterprise ensure cep america medamerica mbsi able fully perform analytics business intelligence functions work directly supports measurement analysis reporting optimization clinical business operations essential job functions analytic dexterity business acumen excellent communication skills critical success position key skills include ability independently plan execute analytic approach results actionable business improvement skill synthesize business needs wide range sources talent organizing analytic findings clear concise written verbal communications provide analytic support levels enterprise across multiple service lines business units ensure timely accurate generation reporting promote accuracy consistency standardization across various types reports data sources manage various reporting tools develop efficiencies consolidate validate automate maintain standardize increase effectiveness reporting work internal constituents perform needs assessment understand business requirements goals help capture reporting strategy content features participate regular business units discovery sessions regarding data functional requirements content organization process flow report specifications develop queries investigation data issues creation new report structures business units use knowledge tools create extract analysis reports visualizations wide array data sources tools partner data bi engineering teams establish high level time effort estimates based client requirements collaborate managers identify project status potential risks issues develop processes support measurement analysis reporting optimization clinical business operations analytic projects high complexity high operational organizational technical impact leverage hypothesis driven approach turn customer insights actionable business product requirements rapid testing become internal external champion evangelist expert wide array analytic healthcare service operations capabilities minimum qualifications knowledge experience b b health science business statistics computer science equivalent experience preferred 2 years analytical role preferably working provider side health care industry e brokers consultants employers health plans physicians groups third party administrators experience working agile environment preferred 2 years proficiency bi data visualization reporting tools qlikview tableau business objects familiarity statistical predictive analytics tools stata r sas spss etc understanding database platforms tools sql oracle teradata etc preferred strong verbal written communication skills ability drive data driven insights across organization personal attributes ability manage time workload effectively including planning organizing prioritizing keen attention details must possess excellent written presentation oral communication skills order effectively communicate diverse audience technical non technical clinical constituencies strong analytical skills demonstrated ability research make decisions required demonstrated ability handle stressful situations multiple tasks deadline pressures demonstrated ability prioritize multi task work minimal supervision cross functional team environment aptitude quickly come speed new tools analytical methods technical concepts must independent motivated learn new skills maturity strike balance showing initiative seeking appropriate guidance input others strong interpersonal skills required understands clients best interests served smooth seamless service delivery results focused proactive self motivated individual demonstrated ability work well group setting must able perform daily functions little supervision nimbleness comfort ambiguity medamerica medamerica one leading healthcare practice management organizations united states since 1975 successfully managed hospital based physician group practices across acute care continuum expertise emergency medicine hospital medicine ambulatory urgent care acute care specialties offer employees opportunity help positively impact healthcare industry enjoying amazing benefits package work environment check competitive benefits package complimentary fitness center multiple health plan options reimbursement non coverage exceptional 401k plan includes generous company match 3 weeks paid vacation tuition reimbursement policy long term disability life insurance culture caring friendly caring business casual environment mid sized family oriented voted best place work bay area 9 years fun staff activities health wellness activities peer management directed employee recognition programs location location location located emeryville watergate business park overlooking san francisco bay minutes away san francisco oakland life career success apply today medamerica equal opportunity employer www medamerica com,"Emeryville, CA",Posted 7 days ago,Business Intelligence Analyst
456,Deloitte,cyber security application security manager seasoned professionals looking pursue meaningful work applying vast skills experiences believe deloitte offers unparalleled opportunity create challenging rewarding career every day deloitte advisory cyber risk service professionals help complex organizations confidently leverage advanced technologies achieve strategic growth innovation performance objectives proactive management associated cyber risks compared broad range companies focus standardized programs managing security devices technologies deloitte mission deliver higher value offerings support clients transformation secure vigilant resilient tm cyber risk approach provide distinct opportunity work complex interesting projects variety industries work top deloitte advisory professionals across country build leadership skills play critical role advising risk sensitive organizations continuously advance skills regardless starting vigilant deloitte vigilant deloitte provides site consulting managed services help security teams better defend enable today dynamic business refining extending security information event management infrastructure vigilant deloitte empowers customers efficiently respond shifting threats achieve regulatory compliance prioritize protection services drive revenue competitive advantage measure progress overall risk management program job duties identify evaluate business technology risks internal controls mitigate risks related opportunities internal control improvement assist selection tailoring approaches methods tools support service offering industry projects actively participate decision making engagement management seek understand broader impact current decisions generate innovative ideas challenge status quo facilitate use technology based tools methodologies review design implement products services play substantive lead role engagement planning economics billing assist retention professionals participate training efforts identify opportunities cross sell services demonstrate general knowledge market trends competitor activities deloitte touche products service lines build nurture positive working relationships clients intention exceed client expectations understand clients business environment basic risk management approaches participate proposal development efforts participate add sales client membership visibility professional civic organizations job requirements cyber security application security manager ideal candidate technical bachelor degree ms preferred 8 years experience software security consulting 8 years experience software development using java microsoft net c c experience application security tools hp fortify ibm appscan experience using build tools e g ant make maven msbuild nant etc experience developing deploying web applications experience multiple operating systems fundamental understanding software computer network architectures experience enterprise security application security experience operations e g incident handling noc soc etc csslp cissp cisa ccp mcp mcse sans certifications able willing travel 75 ideal candidate highly motivated competitive entrepreneurial attracted challenging opportunities demonstrates ability work fast paced environment organizational skills essential strong problem solving analytical interpersonal ownership skills possess excellent collaboration skills wide variety internal team members intelligent self starting self confident individual integrity accountability possess strong written verbal presentation skills deloitte used document deloitte means deloitte llp subsidiaries please see www deloitte com us detailed description legal structure deloitte llp subsidiaries qualified applicants receive consideration employment without regard race color religion sex sexual orientation gender identity national origin age disability protected veteran status legally protected basis accordance applicable law disclaimer reviewing job posting careers site jobs2 deloitte com one approved job boards cannot guarantee validity posting list current postings please visit us jobs2 deloitte com used posting deloitte advisory means deloitte touche llp provides audit enterprise risk services deloitte financial advisory services llp provides forensic dispute consulting services affiliate deloitte transactions business analytics llp provides wide range advisory analytics services deloitte transactions business analytics llp certified public accounting firm please see www deloitte com us detailed description legal structure deloitte llp subsidiaries entities separate subsidiaries deloitte llp qualified applicants receive consideration employment without regard race color religion sex sexual orientation gender identity national origin age disability protected veteran status legally protected basis accordance applicable law,"San Francisco, CA",Posted 18 days ago,Cyber Security - Application Security Manager
457,Randstad USA,key responsibilities include providing technical non profit accounting leadership overseeing maintenance implementation compliance requirements particularly usg funding managing streamlining monthly close process managing accounting operations general ledger revenue inventory accounts payable fixed assets cash payroll intercompany transactions chart accounting assistant controller also primary point contact external auditors regular communication audit committee responsible financial reporting ideal candidate position individual thrives fast paced environment adept change capable innovating building controlled scalable processes help facilitate next phase growth duties responsibilities develop accounting team capabilities provide technical expertise leadership finance business organization treatment accounting issues implementation new non profit accounting standards compliance u gaap liaise internal auditors legal counsel independent external auditors ensure critical processes including internal control compliance narratives accounting policies well documented broadly understood introduce new policies necessary ensure financial reporting internal control compliance place operating effectively work controller producing accurate timely financial statements improve optimize automate reporting capabilities lead statutory audits serve primary contact point global consolidated audits act key point contact global banking relationships assist special projects controller cfo necessary intacct manage month end close cycle including journal entry review account analyses reconciliations ensure proper consolidation intercompany elimination legal entities perform financial statement analytics provide relevant explanations fluctuations maintain control global cash flow line revenue expenditure projections investment reserve policy review approve monthly reconciliation global revenue streams variety donor sources instruments ensure revenue recognition compliance local global accounting standards lead research evaluation documentation new organization wide initiatives determine proper accounting treatment maintain chart accounts dimension tables coordination fp budget owners ensuring key mapping different system reporting requirements qualifications ba bs accounting finance cpa required non profit accounting experience solid understanding non profit accounting standards u gaap 8 10 years progressive accounting experience ideally including 3 years management experience experience top tier public accounting firm international experience demonstrated ability clearly concisely document technical accounting reporting matters experience leading development implementation maintenance internal controls demonstrated track record overseeing systems integrations improvements ability desire develop mentor team strong communication interpersonal skills ability communicate work cross functionally levels departments organization well clearly explain accounting concepts non accounting people strong organizational time management skills strong desire work within fast paced growing increasingly complex global organization strong project management skills demonstrated success planning directing high level projects across enterprise multitude key functional partners,"San Francisco, CA",Posted 13 days ago,Assistant Controller (Consultant)
458,Cisco,manager social marketing content pioneer leader platforms internet things iot looking social marketing content expert develop execute strategies plans initiatives tactics build cisco jasper brand iot cloud business must strong communicator enthusiastic storyteller someone find creative ways champion cisco jasper product industry thought leadership accelerating global passion cisco jasper brand thinker doer things social content living breathing space seeking highly creative organized person deep understanding insatiable passion social media landscape content marketing always thinking drive business disciplined comes integrated communications determined achieve multiplier effect across digital channels social media detail obsessed metrics driven unwilling settle mediocrity join innovators leading edge next wave business transformation internet things opportunity significant impact part passionate team transforming industries business models global scale responsibilities work head digital marketing marketing team e staff business leaders create integrate execute social content marketing strategies support jasper business objectives global growth lead strategies execution jasper social media platforms campaigns twitter linkedin facebook etc driving paid organic campaigns reporting optimization manage jasper com blog serve platform expert pushing team create engaging highly performing content across channels stay pulse developments social digital contribute organization continued evolution space always connecting back business objectives master analytics measure report results impact continuous improvement strategies web partner strategy jasper com jasper blog management contribute ongoing vision content corporate site regional sites microsites lead jasper blog focusing posting development content calendar management promotion overall content calendar across channels serving main point content going live external channels social marketing manage portfolio social media channels drive optimization integration collaborate marketing digital marketing product marketing key stakeholders develop corporate channels structure tools create innovative engaging 360 degree social campaigns extensions jasper channels develop timelines content pipelines editorial calendar monitor progress ensuring deadlines met results reported provide ongoing analysis recommendations using data social platforms web tools lead constantly evolve strategies report back organization manage day day activities writing creating wide variety content social media monitoring engagement social media promotions alignment across teams influencer relations etc skills experience 5 years hands experience leading data driven campaigns social media content owned programs ideation execution earned paid owned experience working across different products vertices prioritizing real time excellent time management required technical role understanding general blog social platform environments integral success ability increase visibility awareness jasper driving differentiation jasper products conversation marketing funnel proven ability understand motivates customers translate stories messages programs campaigns generate breakthrough results understanding b2b marketing space lead generation process required domain expertise business models enabled internet things plus track record managing projects time prioritizing fast paced environment self starter exceptional writing skills long short form internal external plus excellence business communications written verbal attention detail must college degree required cisco jasper jasper became part cisco march 2016 global internet things iot platform leader cisco jasper designed industry leading cloud based iot platform enable companies sizes rapidly cost effectively launch manage monetize iot services global scale companies become much product businesses become service businesses capable automatically managing customers entire iot service lifecycle delivering increased customer value unlocking new sources revenue 5 800 companies 20 vertical markets including many world top brands choose cisco jasper fast track iot services jasper currently partners 30 mobile operator groups representing 100 mobile operator networks worldwide founded 2004 cisco jasper based santa clara california information visit www jasper com follow us twitter jasper_iot learn enterprises building iot services demonstrate possible li rm1 dicedev,"Santa Clara, CA",Posted 23 days ago,IoT Social Marketing & Content Manager
459,Allstate Corporate Hiring,build career right company individuals hopes plans passions using developing talents good work life employees force good working top ability learning new skills challenging new responsibilities allstate enterprise talent market developed mind help reach full potential job description allstate looking hire lead researchers join innovation team downtown chicago menlo park sf bay area locations team works diverse set data systems including gps probe accident data lidar high resolution imagery create driver safety solutions helps build next generation road risk assessing platforms great opportunity work talented team world leading experts build solutions groundbreaking also help make driving safer save lives supervision director engineering product lead researcher develop novel algorithms techniques leverage traditional maps real time traffic techniques imagery object detection scene recognition structure motion solve tough problems like accident avoidance prediction also assist efforts evaluate extract scrub prep analyze visualize spatial non spatial risk data using machine learning statistical analysis communicate various stakeholders across outside company responsibilities track apply latest algorithm improvements industry research community strong passion empirical research necessary trait collaborate fast changing environment communicate clearly effectively colleagues range academic researchers senior data scientists developers dev ops hardware engineers product managers occasionally make presentations enterprise specific topics meetings conferences prepare deliver presentations training sessions share insights research software tools procedures internal external audience periodic basis provide oversight junior level research associates interns co op employees job qualifications master degree phd computer science highly quantitative discipline knowledge designing algorithms support broadcast rapidly changing latency sensitive data genuinely excited enthusiastic learning pushing technical limits finding new solutions data mining analysis languages r pydata sql familiar batch processing real time systems like flume kafka akka proficiency statistical methods analysis including deep understanding regression techniques proficiency database management create edit update join append query data spatial non spatial relational databases experience data visualization graphics tools creation professional presentations reports web content education materials ability create maintain good working relationships collaborations able work independently take initiative completed coursework knowledge machine learning techniques particular predictive model validation preferred skills experience related adas semi autonomous vehicle systems plus exposure arcgis plus past experience predictive model development ai machine learning mllib mahout visualization tools complex data good work good life good hands allstate good people build rewarding career provide resources need succeed personally professionally culture employee programs also drawn praise outside organizations like working mother magazine latina style black enterprise learn resources benefits programs allstate offer myworklife tab mydesktop hear allstaters think follow us twitter facebook instagram linkedin watch video please note fully considered opportunity must attach updated resume profile apply applicable include updated allstate position titles specific experiences skills developed committee subgroup work talent share opportunities certifications awards completed programs coursework visit managing career located myworklife via mydesktop enhance career profile development goals allstate generally sponsor individuals employment based visas position effective july 1 2014 indiana house enrolled act hea 1242 public policy state indiana discriminatory practice employer discriminate prospective employee basis status veteran refusing employ applicant basis veteran armed forces united states member indiana national guard member reserve component jobs san francisco please see notice regarding san francisco fair chance ordinance policy allstate employ best qualified individuals available jobs without regard race color religion sex age national origin sexual orientation gender identity gender expression disability citizenship status veteran disability veteran vietnam era,"Menlo Park, CA",Posted 28 days ago,Lead Researcher - Advanced Map and Risk Applications
460,CyberCoders,position open 10 23 2016 director analytics analytics phd quantitative consultingwe fast paced growing downright cool technology company tons upside keep growing growing growing hence need someone like currently looking hire full time director analytics join team willing offer excellent compensation packages including base salary ranges 100k 200k doe equity benefits etcwhat work closely studio heads make sure analytics teams resources answers need advocate data driven decision making work insure key decision makers using right data approaches making important decisions mentor team analysts data scientists data engineers mentor product managers content designers conduct analysis work finance insure company strategy supported data prioritize company needs order insure team working important tasks recruit analytics talent team make sure team staffed according company needs perform ad hoc analyses needed assist development analytics tools systems help build analytics platform need position 3 years work experience data science experience quantitative consulting behavioral modeling quantitative research also plus one year experience managing least 3 people 2 years experience prefered experience recruiting graduate degree quantitative discipline required economics statistics math physics engineering etc strong interest video games board games novels tv movies comics similar entertainment experience presenting explaining technical results variety audiences including senior executives key stakeholders strong skills excel sql statistics tools sas r python numpy pandas stata strongly preferredso director analytics 3 years work experience data science please apply today required skillsanalytics phd quantitative consulting behavioral modeling data science tools like sas r python matlab r sas sql excel access quantitative research data driven decision makingif good fit director analytics analytics phd quantitative consulting position background includes analytics phd quantitative consulting behavioral modeling data science tools like sas r python matlab r sas sql excel access quantitative research data driven decision making interested working following job types information technology engineering professional serviceswithin following industries entertainment banking financial services biotechnologyour privacy policy resume information kept completely confidential looking forward receiving resume website going job detail cybercoders inc proud equal opportunity employer qualified applicants receive consideration employment without regard race color religion sex national origin disability protected veteran status characteristic protected law right work compliance federal law persons hired required verify identity eligibility work united states complete required employment eligibility verification document form upon hire job requirements analytics phd quantitative consulting behavioral modeling data science tools like sas r python matlab r sas sql excel access quantitative research data driven decision making,"San Francisco, CA",Posted 13 hours ago,Director of Analytics
461,Cisco,business entity service provider video software solutions spvss market leading provider end end component solutions service provider video markets including broadcasters msos dth telcos service providers primary distribution secondary distribution providers spvss solutions enable cutting edge video experiences watched video interacted products team video cloud services looking highly motivated candidates join team working dynamic environment heart exciting business transformation agile devops strong focus building great relationships encouraging innovation focusing quality celebrating successes role responsibilities working highly collaborative environment primarily based cisco offices san francisco san jose occasional travel cisco offices globally build highly great relationships site customer back office colleagues effective monitoring provisioning installation configuration operation maintenance systems hardware software automation monitoring tasks creative dashboarding attentively manage service requests incidents problems champion improvements product based ease trouble shooting monitoring assurance etc develop tools scripts processes make things better working call hours critical customer incidents minimum qualifications minimum 5 years industry experience 3 years experience working large complex deployment environments 3 years working delivery operations team 3 years demonstrable experience linux systems administration red hat centos 3 years industry experience network operations engineering support role 24 7 365 environment solid experience aws services ec2 vpc dynamodb route53 elasticache deployment automation scripting experience bash python etc use python strong understanding ip networks especially troubleshooting layer 1 2 3 issues hands experience salt puppet chef cobbler ansible use salt solid understanding git flows yum rpm management working knowledge key database technology oracle mongodb cassandra working knowledge networking switches routers experience virtualization technologies vmware xen kvm desired skills previous experience developer continuous integration experience using go jenkins electric commander alerts experience using sensu nagios dashboards provide single unified view globally distributed infrastructure engineering team experience using elk stack elasticsearch deep search data analytics logstash centralized logging log enrichment parsing kibana data visualization ci cd experience jenkins stackstorm solid understanding video technologies encoding abr drm vod conditional access dvb mpeg ott cisco internet everything phenomenon driving new opportunities cisco transforming customers businesses worldwide pioneers since early days connectivity today building teams expanding technology solutions mobile cloud security big data spaces including software consulting services cisco delivers network powers internet connecting unconnected imagine creating unprecedented disruption revolutionary ideas impact everything retail healthcare entertainment public private sectors far beyond collaborate like minded innovators fun flexible culture earned cisco global recognition great place work roughly 10 billion connected things world 50 billion estimated future career exponential possibilities cisco,"San Francisco, CA",Posted 6 days ago,Devops Engineer
462,CyberCoders,position open 10 23 2016 data scientist machine learning python data miningif data scientist experience please read based san francisco ca company curates big data analytics healthcare life sciences industry value innovative solutions constant improvement team collaboration startup looking data scientist wow us contribute development rising healthcare platform experience data mining machine learning techniques scala python java spark hadoop would love hear opportunity join growing team folks accomplished analytics machine learning data engineering focused using best lies forefront technology data science address complex real world problems healthcare life science space team forms tip spear driving towards effective ways deliver value need positionat least 3 years experience knowledge machine learning data mining python data mining hadoop scala spark sqlwhat youwe willing offer excellent compensation packages including base salary 90k 150k bonus doe medical dental vision 401k matching located san francisco blocks away park almost hear fans cheering data scientist experience please apply today required skillsmachine learning python data mining hadoop scala spark sqlif good fit data scientist machine learning python data mining position background includes machine learning python data mining hadoop scala spark sql interested working following job types information technology engineering professional serviceswithin following industries healthcare health services banking financial services biotechnologyour privacy policy resume information kept completely confidential looking forward receiving resume website going job detail cybercoders inc proud equal opportunity employer qualified applicants receive consideration employment without regard race color religion sex national origin disability protected veteran status characteristic protected law right work compliance federal law persons hired required verify identity eligibility work united states complete required employment eligibility verification document form upon hire job requirements machine learning python data mining hadoop scala spark sql,"San Francisco, CA",Posted 23 days ago,Data Scientist
463,CyberCoders,position open 10 23 2016 software architect save lives based menlo park ca breakthrough diagnostic leader technology working high profile clients mayo clinic received series funding 2011 16m growing ever since team comprised top engineers scientists mit stanford top schools institutions want wake every morning look forward going work knowing research making major impact fight cure cancer seeking software architect reporting directly cto sounds like please read need positionrequired ms phd computer science similar java scala strong experience amazon web services aws c f scala front end web technologies typescript react databases mysql postgres redis dynamodb linux development devops docker etc data streaming kinesis kafka etc cure cancer save lives competitive compensation bonus equity generous vacation pto comprehensive benefits packageif looking develop top notch diagnostics products fun stable company plenty room grow please apply today required skillsamazon web services ec2 elastic mapreduce c database systems linuxif good fit software architect save lives position background includes amazon web services ec2 elastic mapreduce c database systems linux interested working following job types information technology engineering professional serviceswithin following industries computer software banking financial services biotechnologyour privacy policy resume information kept completely confidential looking forward receiving resume website going job detail cybercoders inc proud equal opportunity employer qualified applicants receive consideration employment without regard race color religion sex national origin disability protected veteran status characteristic protected law right work compliance federal law persons hired required verify identity eligibility work united states complete required employment eligibility verification document form upon hire job requirements amazon web services ec2 elastic mapreduce c database systems linux,"Menlo Park, CA",Posted 11 days ago,Software Architect - Save Lives!
464,Robert Half,req id 154226 join one world admired companies founded 1948 robert half world first largest specialized staffing firm parent company protiviti global consulting firm offer clients full spectrum specialized staffing consulting solutions 400 locations 20 countries robert half appeared fortune magazine list admired companies every year since 1998 well numerous best place work lists around world corporate employees backbone operations work teams around world employee corporate services locations plays role company success want make difference work environment thrive innovate apply job today job summary robert half seeking director digital marketing data driven senior leadership role ultimate accountability performance roberthalf com success leader based upon ability build lead world class digital marketing organization deliver improved site traffic seo visibility leads achieve end goal generating customers business existing customers highly experienced digital marketing e commerce native lead company north american digital marketing strategy activities inclusive natural paid search database marketing marketing automation closed loop marketing performance advertising customer client candidate acquisition conversion retention digital marketing program optimization leader responsible generating revenue via creation inbound outbound marketing programs delivering actionable leads convert new business help retain grow current business delivers roi use analytics kpi reporting optimize performance marketing pr programs working across functional teams content brand pr etc shift resources focus programs impactful across phases customer lifecycle partnership director global data analytics customer research insights individual lead across marketing pr organization build culture data driven decision making including increasing transparency accountability website performance goals role manage multi million dollar digital marketing budget consisting paid search digital performance advertising job board candidate acquisition partnerships role leads extensive team 9 digital marketers senior managers broad range functions including online website management conversion optimization marketing automation nurturing digital programs candidate acquisition paid search performance social advertising analytics must hands detail oriented strategic leader highly focused execution operations results delivery specific responsibilities include holds ultimate accountability roberthalf com site performance delivering continued sequential growth site traffic organic traffic seo visibility leads conversion addition ultimate accountability north american paid search performance digital advertising social media amplification candidate acquisition job board digital programming performance ensures site performance goals well understood adhered across functional teams marketing pr activities relates programming leveraging touching websites contribute goals continually identify strategies tactics necessary improving site performance ultimate goal generating customers leads leverage range teams content marketing performance advertising digital programs job board manager etc order secure necessary support programming achieve site goals includes making data goal informed decisions regarding programming need less none order achieve site performance goals ultimate responsibility determining content programming sits points site keeping firm eye customer audiences customer response overall site performance must audit proposed changes site ensure goal deeply involved leading implementation delivery major site changes initiatives enhancements including uxp ui work collaborate marketing technology team changes site infrastructure functionality responsible conducting weekly hands assessment site performance leveraging online management team well hands view analytics tools searchmetrics google analytics tracks site performance develops optimization strategies directs implementation strategies team directs teams conducting b testing division home pages campaign landing pages drive highest engagements form phone calls downloads job board applications leads action regular updates improvements websites based user data feedback seo optimization targets team manage optimization existing site content including metadata request additional content needed achieve site performance goals content marketing team leads north american digital performance advertising team planning digital performance advertising programs campaigns initiatives developing overall performance advertising agency leverage lead agency partners leads digital marketing programming efforts ensuring programming goal high performing leads relationships external agencies vendors constantly improves knowledge online marketing search trends developments train team members leads regular review competitor online activities website updates job postings industry updates working closely wide range functional teams marketing corporate communications position responsible raising profile robert half divisions online whilst maintaining integrity robert half corporate identity reduces broad concepts business strategies best practices actionable digital marketing plans deliver organizational growth goals selects develops evaluates personnel ensure effective efficient support organization digital marketing efforts including leading team 9 senior managers marketers manages key external vendor consultant relationships oversees north american paid search performance advertising job board budgets collaborates senior management integrate digital marketing demand generation strategies related key enterprise goals times keep marketing executive leadership team apprised major site search advertising candidate acquisition job board performance developments job requirements bachelor degree business marketing related field required 10 years digital marketing role 7 years people management experience e commerce experience preferred experience professional business services candidate acquisition job board staffing industries preferred must hands detail oriented strategic leader highly focused execution operations results delivery extensive experience wide range digital marketing disciplines including marketing automation seo sem web development content digital performance advertising mobile social proven experience leading e commerce multi discipline digital marketing function expert level understanding marketing sales funnel pull prospects funnel stages towards conversion experience using online cms systems ideally drupal html experience experience marketing automation systems eloqua leading marketing automation programming strategy nurturing drip etc strong digital analytics skills experience google analytics experience searchmetrics similar tool plus exceptional ability draw conclusions data act upon natural aptitude learning new technologies tools leader early adopter mentality strong project management skills excellent attention details accuracy agency management experience excellent people leadership development experience including ability identify attract world class talent train develop employees ensure team cutting edge online marketing collaborative capable breaking silos teams departments contribute success exceptional ability communicate influence extensive budget management experience follow us twitter rh_corp_jobs robert half corporate job openings career workplace news robert half international inc equal opportunity employer f disability veteran part robert half corporate facility employment process offer employment contingent upon successful completion background check may apply position online mail robert half committed equal employment employer offering opportunities job seekers including individuals disabilities believe need reasonable accommodation order search job opening apply position please contact us sending email [click email resum ] assistance email please include following specific accommodation requested complete employment application location city state would like apply mail please mail cover letter resume corporate staffing robert half 2613 camino ramon san ramon ca 94583 9128,"San Ramon, CA",Posted 27 days ago,Director of Digital Marketing
